ts,side,price,qty,fee,rule
6,BUY,268267.99999999994,2.4431908805938565,327.71496557757627,"모멘텀 전략 (5일, 5.0%)"
7,BUY,259759.49999999997,2.018322340207024,262.13920096550316,"모멘텀 전략 (5일, 5.0%)"
13,BUY,278277.99999999994,1.507019217130395,209.68514685230602,"모멘텀 전략 (5일, 5.0%)"
14,BUY,294794.49999999994,1.1379259040935947,167.72714896715956,"모멘텀 전략 (5일, 5.0%)"
15,BUY,310309.99999999994,0.8647155841502431,134.16494645883094,"모멘텀 전략 (5일, 5.0%)"
16,BUY,322321.99999999994,0.6659088779073032,107.31854067241888,"모멘텀 전략 (5일, 5.0%)"
17,BUY,339839.49999999994,0.5052037840443379,85.84410068386786,"모멘텀 전략 (5일, 5.0%)"
18,BUY,331831.49999999994,0.41386484488076575,68.6666961370259,"모멘텀 전략 (5일, 5.0%)"
19,BUY,341340.99999999994,0.3218276751987427,54.92649024000701,"모멘텀 전략 (5일, 5.0%)"
20,BUY,338838.49999999994,0.2593312126159313,43.93569954298161,"모멘텀 전략 (5일, 5.0%)"
21,BUY,349348.99999999994,0.20119803442649611,35.14416606443099,"모멘텀 전략 (5일, 5.0%)"
22,BUY,355855.49999999994,0.15799569451610754,28.11181843493835,"모멘텀 전략 (5일, 5.0%)"
23,BUY,359358.99999999994,0.12514863168089396,22.486643566107183,"모멘텀 전략 (5일, 5.0%)"
25,BUY,347847.49999999994,0.10341926383561266,17.987066188529134,"모멘텀 전략 (5일, 5.0%)"
26,SELL,339160.5,10.725071945281307,1818.7603817487905,"모멘텀 전략 (5일, 5.0%)"
30,BUY,426425.99999999994,1.7726782820737372,377.9580545557877,"모멘텀 전략 (5일, 5.0%)"
31,BUY,405905.49999999994,1.4896504129122399,302.32864783917455,"모멘텀 전략 (5일, 5.0%)"
32,BUY,425424.99999999994,1.1368992673517342,241.83268540655573,"모멘텀 전략 (5일, 5.0%)"
33,BUY,410910.49999999994,0.9415284596363633,193.44196505670394,"모멘텀 전략 (5일, 5.0%)"
34,BUY,421420.99999999994,0.7343451220933817,154.73422784885747,"모멘텀 전략 (5일, 5.0%)"
35,BUY,451951.49999999994,0.5477220845878423,123.7719088563011,"모멘텀 전략 (5일, 5.0%)"
36,BUY,477977.49999999994,0.4142669891120617,99.00514989415522,"모멘텀 전략 (5일, 5.0%)"
37,BUY,497496.99999999994,0.31837064103033696,79.19421940033477,"모멘텀 전략 (5일, 5.0%)"
38,BUY,475474.99999999994,0.2664596712690585,63.34745609832779,"모멘텀 전략 (5일, 5.0%)"
39,BUY,470469.99999999994,0.21540854946352544,50.6716301330524,"모멘텀 전략 (5일, 5.0%)"
40,BUY,493492.99999999994,0.16426671480012328,40.532236943428614,"모멘텀 전략 (5일, 5.0%)"
41,BUY,533532.9999999999,0.12153601119724013,32.42173633104856,"모멘텀 전략 (5일, 5.0%)"
42,BUY,521520.99999999994,0.09945581056642297,25.934146891205735,"모멘텀 전략 (5일, 5.0%)"
43,BUY,538537.9999999999,0.07704089255827992,20.74472409827547,"모멘텀 전략 (5일, 5.0%)"
44,BUY,558557.9999999999,0.05941622823846601,16.593704806210546,"모멘텀 전략 (5일, 5.0%)"
45,BUY,557556.9999999999,0.04761236779194888,13.273304474487817,"모멘텀 전략 (5일, 5.0%)"
46,BUY,557556.9999999999,0.03808513299677991,10.617316249142807,"모멘텀 전략 (5일, 5.0%)"
47,BUY,611610.9999999999,0.027771872211877588,8.49279126768933,"모멘텀 전략 (5일, 5.0%)"
48,BUY,563562.9999999999,0.024108693207413174,6.793383735024694,"모멘텀 전략 (5일, 5.0%)"
53,BUY,605604.9999999999,0.01794578198544019,5.434027649646252,"모멘텀 전략 (5일, 5.0%)"
54,BUY,607606.9999999999,0.014307533379148162,4.346678716952038,"모멘텀 전략 (5일, 5.0%)"
58,SELL,562437.0,8.528876518463422,2398.4778612075056,"모멘텀 전략 (5일, 5.0%)"
